t,x,x_dot
14.7024183006536,49.7776027777778,-0.753888888888889
14.7124183006536,49.77,-0.766666666666667
14.7224183006536,49.7622694444444,-0.779444444444444
14.7324183006536,49.7544111111111,-0.792222222222222
14.7424183006536,49.746425,-0.805
14.7524183006536,49.7383111111111,-0.817777777777778
14.7624183006536,49.7300694444444,-0.830555555555555
14.7724183006536,49.7217,-0.843333333333333
14.7824183006536,49.7132027777778,-0.856111111111111
14.7924183006536,49.7045777777778,-0.868888888888889
14.8024183006536,49.695825,-0.881666666666667
14.8124183006536,49.6869444444444,-0.894444444444444
14.8224183006536,49.6779361111111,-0.907222222222222
14.8324183006536,49.6688,-0.92
14.8424183006536,49.6595361111111,-0.932777777777778
14.8524183006536,49.6501444444444,-0.945555555555555
14.8624183006536,49.640625,-0.958333333333333
14.8724183006536,49.6309777777778,-0.971111111111111
14.8824183006536,49.6212027777778,-0.983888888888889
14.8924183006536,49.6113,-0.996666666666667
14.9024183006536,49.6012694444444,-1.00944444444444
14.9124183006536,49.5911111111111,-1.02222222222222
14.9224183006536,49.580825,-1.035
14.9324183006536,49.5704111111111,-1.04777777777778
14.9424183006536,49.5598694444444,-1.06055555555556
14.9524183006536,49.5492,-1.07333333333333
14.9624183006536,49.5384027777778,-1.08611111111111
14.9724183006536,49.5274777777778,-1.09888888888889
14.9824183006536,49.516425,-1.11166666666667
14.9924183006536,49.5052444444444,-1.12444444444444
15.0024183006536,49.4939361111111,-1.13722222222222
15.0124183006536,49.4825,-1.15
15.0224183006536,49.4709361111111,-1.16277777777778
15.0324183006536,49.4592444444444,-1.17555555555556
15.0424183006536,49.447425,-1.18833333333333
15.0524183006536,49.4354777777778,-1.20111111111111
15.0624183006536,49.4234027777778,-1.21388888888889
15.0724183006536,49.4112,-1.22666666666667
15.0824183006536,49.3988694444444,-1.23944444444444
15.0924183006536,49.3864111111111,-1.25222222222222
15.1024183006536,49.373825,-1.265
15.1124183006536,49.3611111111111,-1.27777777777778
15.1224183006536,49.3482694444444,-1.29055555555556
15.1324183006536,49.3353,-1.30333333333333
15.1424183006536,49.3222027777778,-1.31611111111111
15.1524183006536,49.3089777777778,-1.32888888888889
15.1624183006536,49.295625,-1.34166666666667
15.1724183006536,49.2821444444444,-1.35444444444444
15.1824183006536,49.2685361111111,-1.36722222222222
15.1924183006536,49.2548,-1.38
15.2024183006536,49.2409361111111,-1.39277777777778
15.2124183006536,49.2269444444444,-1.40555555555556
15.2224183006536,49.212825,-1.41833333333333
15.2324183006536,49.1985777777778,-1.43111111111111
15.2424183006536,49.1842027777778,-1.44388888888889
15.2524183006536,49.1697,-1.45666666666667
15.2624183006536,49.1550694444444,-1.46944444444444
15.2724183006536,49.1403111111111,-1.48222222222222
15.2824183006536,49.125425,-1.495
15.2924183006536,49.1104111111111,-1.50777777777778
15.3024183006536,49.0952694444444,-1.52055555555556
15.3124183006536,49.08,-1.53333333333333
15.3224183006536,49.0646027777778,-1.54611111111111
